id,lastname,firstname,state,chamber,icpsr,bioname
06658,CULLOM,SHELBY,IL,Senate,2239,"CULLOM, Shelby Moore"
05449,MANDERSON,CHARLES,NE,Senate,5951,"MANDERSON, Charles Frederick"
05410,DOLPH,JOSEPH,OR,Senate,2649,"DOLPH, Joseph Norton"
05051,PIKE,AUSTIN,NH,Senate,7447,"PIKE, Austin Franklin"
05047,PALMER,THOMAS,MI,Senate,7181,"PALMER, Thomas Witherell"
05435,KENNA,JOHN,WV,Senate,5173,"KENNA, John Edward"
05061,RIDDLEBERGER,HARRISON,VA,Senate,7894,"RIDDLEBERGER, Harrison Holt"
05393,COLQUITT,ALFRED,GA,Senate,1953,"COLQUITT, Alfred Holt"
05068,SABIN,DWIGHT,MN,Senate,8165,"SABIN, Dwight May"
05103,SHEFFIELD,WILLIAM,RI,Senate,8429,"SHEFFIELD, William Paine"
04958,BOWEN,THOMAS,CO,Senate,900,"BOWEN, Thomas Mead"
05423,GIBSON,RANDALL,LA,Senate,3565,"GIBSON, Randall Lee"
06028,WALTHALL,EDWARD,MS,Senate,9793,"WALTHALL, Edward Cary"
05766,GRAY,GEORGE,DE,Senate,3765,"GRAY, George"
05124,CHACE,JONATHAN,RI,Senate,1613,"CHACE, Jonathan"
06287,BLACKBURN,JOSEPH,KY,Senate,751,"BLACKBURN, Joseph Clay Stiles"
05140,EVARTS,WILLIAM,NY,Senate,3024,"EVARTS, William Maxwell"
06285,BERRY,JAMES,AR,Senate,674,"BERRY, James Henderson"
05655,STANFORD,LELAND,CA,Senate,8836,"STANFORD, Leland"
05282,HEARST,GEORGE,CA,Senate,4266,"HEARST, George"
05525,WHITTHORNE,WASHINGTON,TN,Senate,10076,"WHITTHORNE, Washington Curran"
05241,WILLIAMS,ABRAM,CA,Senate,10131,"WILLIAMS, Abram Pease"
05240,CHENEY,PERSON,NH,Senate,1683,"CHENEY, Person Colby"
06493,SPOONER,JOHN,WI,Senate,8800,"SPOONER, John Coit"
05191,PAYNE,HENRY,OH,Senate,7272,"PAYNE, Henry B."
06099,JONES,JAMES,AR,Senate,5042,"JONES, James Kimbrough"
05236,WILSON,EPHRAIM,MD,Senate,10217,"WILSON, Ephraim King"
