id,lastname,firstname,state,chamber,icpsr,bioname
06280,APLIN,HENRY,MI,House,215,"APLIN, Henry Harrison"
06415,BURK,HENRY,PA,House,1259,"BURK, Henry"
06329,IRWIN,HARVEY,KY,House,4826,"IRWIN, Harvey Samuel"
06309,EDWARDS,CALDWELL,MT,House,2860,"EDWARDS, Caldwell"
06444,GOOCH,DANIEL,KY,House,3662,"GOOCH, Daniel Linn"
06498,THOMPSON,CHARLES,AL,House,9318,"THOMPSON, Charles Winston"
06537,DEEMER,ELIAS,PA,House,2458,"DEEMER, Elias"
06490,SKILES,WILLIAM,OH,House,8558,"SKILES, William Woodburn"
06683,HASKINS,KITTREDGE,VT,House,4176,"HASKINS, Kittredge"
06485,SCARBOROUGH,ROBERT,SC,House,8251,"SCARBOROUGH, Robert Bethea"
06298,COOMBS,FRANK,CA,House,2036,"COOMBS, Frank Leslie"
06515,BEIDLER,JACOB,OH,House,585,"BEIDLER, Jacob Atlee"
06437,FOERDERER,ROBERT,PA,House,3245,"FOERDERER, Robert Hermann"
06297,CONRY,JOSEPH,MA,House,2006,"CONRY, Joseph Aloysius"
06372,SCHIRM,CHARLES,MD,House,8264,"SCHIRM, Charles Reginald"
06523,BROWN,WEBSTER,WI,House,1135,"BROWN, Webster Everett"
06318,GLENN,THOMAS,ID,House,3631,"GLENN, Thomas Louis"
06448,HILDEBRANT,CHARLES,OH,House,4404,"HILDEBRANT, Charles Quinn"
06822,MAYNARD,HARRY,VA,House,6111,"MAYNARD, Harry Lee"
06386,STORM,FREDERIC,NY,House,8995,"STORM, Frederic"
06900,CURRIER,FRANK,NH,House,2260,"CURRIER, Frank Dunklee"
06289,BRISTOW,HENRY,NY,House,1045,"BRISTOW, Henry"
07533,BRANDEGEE,FRANK,CT,House,978,"BRANDEGEE, Frank Bosworth"
06313,FLANAGAN,DE,NJ,House,3202,"FLANAGAN, De Witt Clinton"
06613,TRIMBLE,SOUTH,KY,House,9476,"TRIMBLE, South"
06363,PUGSLEY,CORNELIUS,NY,House,7648,"PUGSLEY, Cornelius Amory"
06354,MOSS,JOHN,KY,House,6757,"MOSS, John McKenzie"
07401,BALL,LEWIS,DE,House,395,"BALL, Lewis Heisler"
06851,SCOTT,CHARLES,KS,House,8293,"SCOTT, Charles Frederick"
07090,MARTIN,EBEN,SD,House,6020,"MARTIN, Eben Wever"
06843,PERKINS,JAMES,NY,House,7347,"PERKINS, James Breck"
06518,BLACKBURN,EDMOND,NC,House,750,"BLACKBURN, Edmond Spencer"
06478,POWERS,SAMUEL,MA,House,7582,"POWERS, Samuel Leland"
06914,FOSTER,DAVID,VT,House,3302,"FOSTER, David Johnson"
06588,PATTERSON,GEORGE,PA,House,7241,"PATTERSON, George Robert"
06779,GAINES,JOSEPH,WV,House,3426,"GAINES, Joseph Holt"
06391,TOMPKINS,EMMETT,OH,House,9418,"TOMPKINS, Emmett"
06349,MOODY,JAMES,NC,House,6615,"MOODY, James Montraville"
06416,BUTLER,JAMES,MO,House,1339,"BUTLER, James Joseph"
07308,GARDNER,AUGUSTUS,MA,House,3463,"GARDNER, Augustus Peabody"
06417,CASSINGHAM,JOHN,OH,House,1588,"CASSINGHAM, John Wilson"
06461,LIVERNASH,EDWARD,CA,House,5714,"LIVERNASH, Edward James"
06424,DANIELS,MILTON,CA,House,2330,"DANIELS, Milton John"
07058,HARRISON,FRANCIS,NY,House,4129,"HARRISON, Francis Burton"
06945,MACON,ROBERT,AR,House,5896,"MACON, Robert Bruce"
06410,BENNY,ALLAN,NJ,House,646,"BENNY, Allan"
07212,LOUD,GEORGE,MI,House,5785,"LOUD, George Alvin"
06488,SHOBER,FRANCIS,NY,House,8480,"SHOBER, Francis Emanuel"
07838,WOODYARD,HARRY,WV,House,10367,"WOODYARD, Harry Chapman"
06429,DICKERMAN,CHARLES,PA,House,2560,"DICKERMAN, Charles Heber"
06524,BUCKMAN,CLARENCE,MN,House,1209,"BUCKMAN, Clarence Bennett"
08307,GARNER,JOHN,TX,House,3482,"GARNER, John Nance"
07785,FULLER,CHARLES,IL,House,3393,"FULLER, Charles Eugene"
06674,GRANGER,DANIEL,RI,House,3749,"GRANGER, Daniel Larned Davis"
07499,STANLEY,AUGUSTUS,KY,House,8838,"STANLEY, Augustus Owsley"
07014,BEALL,JAMES,TX,House,545,"BEALL, James Andrew (Jack)"
06408,BASSETT,EDWARD,NY,House,506,"BASSETT, Edward Murray"
06634,BIRDSALL,BENJAMIN,IA,House,726,"BIRDSALL, Benjamin Pixley"
07543,CAMPBELL,PHILIP,KS,House,1462,"CAMPBELL, Philip Pitt"
06742,BOWERS,EATON,MS,House,903,"BOWERS, Eaton Jackson"
06624,WILLIAMSON,JOHN,OR,House,10194,"WILLIAMSON, John Newton"
06433,EMERICH,MARTIN,IL,House,2958,"EMERICH, Martin"
06700,LILLEY,GEORGE,CT,House,5661,"LILLEY, George Leavens"
06853,SNAPP,HOWARD,IL,House,8719,"SNAPP, Howard Malcolm"
07189,GOULDEN,JOSEPH,NY,House,3725,"GOULDEN, Joseph Aloysius"
08588,NORRIS,GEORGE,NE,House,6960,"NORRIS, George William"
06615,VAN DUZER,CLARENCE,NV,House,9609,"VAN DUZER, Clarence Dunn"
07312,GREGG,ALEXANDER,TX,House,3804,"GREGG, Alexander White"
06785,GOEBEL,HERMAN,OH,House,3642,"GOEBEL, Herman Philip"
07324,HITCHCOCK,GILBERT,NE,House,4454,"HITCHCOCK, Gilbert Monell"
06548,GARBER,HARVEY,OH,House,3456,"GARBER, Harvey Cable"
07364,SHERLEY,JOSEPH,KY,House,8452,"SHERLEY, Joseph Swagar"
06508,WYNN,WILLIAM,CA,House,10406,"WYNN, William Joseph"
06578,MCCARTHY,JOHN,NE,House,6136,"McCARTHY, John Jay"
06481,RIDER,IRA,NY,House,7895,"RIDER, Ira Edgar"
